,Age,3,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,83
0,2.0,2.73,2.82,3.1,3.25,3.4,3.52,3.62,3.8,3.92,4.01,4.12,4.19,4.24,4.33,4.43,4.51,4.61,4.68
1,2.08,2.76,2.85,3.13,3.27,3.42,3.55,3.65,3.82,3.93,4.02,4.14,4.21,4.26,4.35,4.44,4.52,4.62,4.68
2,2.17,2.78,2.87,3.15,3.3,3.45,3.57,3.67,3.83,3.95,4.04,4.15,4.22,4.27,4.36,4.45,4.53,4.63,4.69
3,2.25,2.8,2.89,3.18,3.32,3.47,3.6,3.69,3.85,3.97,4.06,4.16,4.23,4.29,4.37,4.46,4.54,4.64,4.7
4,2.33,2.83,2.91,3.2,3.35,3.5,3.62,3.72,3.87,3.99,4.07,4.18,4.25,4.3,4.38,4.47,4.55,4.65,4.71
5,2.42,2.85,2.94,3.23,3.37,3.52,3.64,3.74,3.89,4.0,4.09,4.19,4.26,4.31,4.39,4.48,4.56,4.65,4.71
6,2.5,2.87,2.96,3.25,3.39,3.55,3.67,3.76,3.91,4.02,4.11,4.21,4.27,4.32,4.41,4.49,4.57,4.66,4.72
7,2.58,2.89,2.98,3.28,3.42,3.57,3.69,3.78,3.93,4.04,4.12,4.22,4.28,4.34,4.42,4.5,4.58,4.67,4.73
8,2.67,2.91,3.0,3.3,3.44,3.59,3.71,3.8,3.95,4.06,4.14,4.23,4.3,4.35,4.43,4.51,4.59,4.68,4.73
9,2.75,2.93,3.02,3.32,3.46,3.62,3.73,3.82,3.96,4.07,4.15,4.25,4.31,4.36,4.44,4.52,4.6,4.69,4.74
10,2.83,2.95,3.04,3.34,3.49,3.64,3.76,3.84,3.98,4.09,4.17,4.26,4.32,4.37,4.45,4.53,4.61,4.7,4.75
11,2.92,2.98,3.06,3.37,3.51,3.66,3.78,3.86,4.0,4.1,4.18,4.27,4.33,4.38,4.46,4.54,4.62,4.7,4.76
12,3.0,3.0,3.08,3.39,3.53,3.68,3.8,3.88,4.02,4.12,4.2,4.29,4.35,4.4,4.47,4.55,4.63,4.71,4.76
13,3.08,3.02,3.1,3.41,3.55,3.7,3.82,3.9,4.03,4.14,4.21,4.3,4.36,4.41,4.48,4.56,4.64,4.72,4.77
